model,horizon,prop,wis,wis_scaled_relative_skill,ae_median,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95,q_coverage_0.010,q_coverage_0.025,q_coverage_0.050,q_coverage_0.100,q_coverage_0.150,q_coverage_0.200,q_coverage_0.250,q_coverage_0.300,q_coverage_0.350,q_coverage_0.400,q_coverage_0.450,q_coverage_0.500,q_coverage_0.550,q_coverage_0.600,q_coverage_0.650,q_coverage_0.700,q_coverage_0.750,q_coverage_0.800,q_coverage_0.850,q_coverage_0.900,q_coverage_0.950,q_coverage_0.975,q_coverage_0.990
UMass-gbq_qr_no_reporting_adj,3,1,39.8,0.562,59.6,0.589,0.552,0.96,0.0073964497041420114,0.014792899408284023,0.02514792899408284,0.05473372781065089,0.08505917159763314,0.1227810650887574,0.1804733727810651,0.2403846153846154,0.3069526627218935,0.3764792899408284,0.4341715976331361,0.488905325443787,0.5458579881656804,0.5931952662721893,0.6560650887573964,0.6997041420118343,0.7322485207100592,0.7744082840236687,0.8173076923076923,0.8757396449704142,0.9297337278106509,0.9718934911242604,0.9896449704142012
UMass-gbq_qr_no_transform,3,1,40.5,0.571,61.6,0.609,0.549,0.956,0.013313609467455622,0.020710059171597635,0.03106508875739645,0.0613905325443787,0.09393491124260354,0.14497041420118342,0.20266272189349113,0.28920118343195267,0.3520710059171598,0.41789940828402367,0.46375739644970415,0.5295857988165681,0.5732248520710059,0.6183431952662722,0.6590236686390533,0.709319526627219,0.7514792899408284,0.790680473372781,0.8394970414201184,0.8986686390532544,0.9430473372781065,0.974112426035503,0.988905325443787
UMass-gbq_qr,3,1,41.4,0.584,62.9,0.622,0.541,0.955,0.005917159763313609,0.011094674556213017,0.019970414201183433,0.045118343195266274,0.10281065088757396,0.15902366863905326,0.23372781065088757,0.2943786982248521,0.35281065088757396,0.41494082840236685,0.4681952662721893,0.5192307692307693,0.5798816568047337,0.6375739644970414,0.6775147928994083,0.7263313609467456,0.7744082840236687,0.8232248520710059,0.8624260355029586,0.8986686390532544,0.9275147928994083,0.9630177514792899,0.9896449704142012
UMass-gbq_qr_no_reporting_adj,2,1,33.8,0.584,51,0.626,0.538,0.944,0.010683760683760684,0.029914529914529916,0.04985754985754986,0.07692307692307693,0.12179487179487179,0.16524216524216523,0.21652421652421652,0.28062678062678065,0.33903133903133903,0.400997150997151,0.4586894586894587,0.5142450142450142,0.5683760683760684,0.6196581196581197,0.6688034188034188,0.7094017094017094,0.7542735042735043,0.7955840455840456,0.8390313390313391,0.8739316239316239,0.9223646723646723,0.9693732193732194,0.9928774928774928
UMass-gbq_qr,2,1,35.2,0.608,54.8,0.672,0.527,0.948,0.007122507122507123,0.01638176638176638,0.02849002849002849,0.06267806267806268,0.1103988603988604,0.17735042735042736,0.25427350427350426,0.32905982905982906,0.391025641025641,0.46225071225071224,0.5078347578347578,0.5534188034188035,0.5925925925925926,0.6531339031339032,0.6994301994301995,0.7492877492877493,0.7813390313390314,0.8219373219373219,0.8632478632478633,0.896011396011396,0.9280626780626781,0.9601139601139601,0.9914529914529915
UMass-gbq_qr_no_reporting_adj,1,1,26,0.615,40.7,0.698,0.497,0.933,0.014423076923076924,0.03365384615384615,0.054945054945054944,0.08997252747252747,0.13598901098901098,0.18337912087912087,0.25274725274725274,0.3083791208791209,0.36813186813186816,0.41620879120879123,0.46634615384615385,0.5137362637362637,0.5728021978021978,0.6195054945054945,0.6682692307692307,0.7101648351648352,0.7493131868131868,0.7884615384615384,0.8289835164835165,0.8688186813186813,0.9196428571428571,0.9622252747252747,0.9883241758241759
UMass-gbq_qr_no_transform,2,1,36.2,0.624,56.2,0.69,0.497,0.943,0.01282051282051282,0.02564102564102564,0.04772079772079772,0.07407407407407407,0.1225071225071225,0.19230769230769232,0.26851851851851855,0.344017094017094,0.3995726495726496,0.457977207977208,0.5064102564102564,0.5641025641025641,0.5997150997150997,0.6403133903133903,0.6780626780626781,0.7215099715099715,0.7656695156695157,0.8069800569800569,0.8518518518518519,0.8945868945868946,0.9344729344729344,0.9643874643874644,0.9878917378917379
UMass-gbq_qr,1,1,27.3,0.644,41.7,0.715,0.524,0.949,0.008928571428571428,0.017857142857142856,0.02403846153846154,0.059065934065934064,0.11744505494505494,0.18475274725274726,0.25824175824175827,0.33791208791208793,0.39697802197802196,0.4491758241758242,0.5,0.5467032967032966,0.603021978021978,0.6614010989010989,0.7060439560439561,0.7506868131868132,0.7822802197802198,0.8186813186813187,0.8619505494505495,0.8962912087912088,0.9244505494505495,0.9629120879120879,0.9869505494505495
UMass-gbq_qr_no_transform,1,1,29,0.684,45.2,0.774,0.475,0.951,0.01304945054945055,0.02403846153846154,0.040521978021978024,0.08447802197802198,0.14972527472527472,0.21497252747252749,0.28708791208791207,0.35233516483516486,0.41277472527472525,0.4697802197802198,0.5171703296703297,0.5638736263736264,0.5934065934065934,0.6414835164835165,0.6806318681318682,0.717032967032967,0.7616758241758241,0.7980769230769231,0.8502747252747253,0.8956043956043956,0.9416208791208791,0.9697802197802198,0.9876373626373627
UMass-gbq_qr_no_reporting_adj,0,1,18,0.705,28,0.815,0.46,0.924,0.01790450928381963,0.03580901856763926,0.05636604774535809,0.09748010610079576,0.15517241379310345,0.21153846153846154,0.2625994694960212,0.3103448275862069,0.3620689655172414,0.4151193633952255,0.46684350132625996,0.5152519893899205,0.553050397877984,0.5994694960212201,0.6405835543766578,0.6810344827586207,0.7228116710875332,0.756631299734748,0.8003978779840849,0.8488063660477454,0.9118037135278515,0.9522546419098143,0.9874005305039788
UMass-gbq_qr,0,1,18.6,0.73,27.8,0.808,0.526,0.935,0.011936339522546418,0.023209549071618037,0.033156498673740056,0.06962864721485411,0.11538461538461539,0.16976127320954906,0.23275862068965517,0.29973474801061006,0.366710875331565,0.41909814323607425,0.47015915119363394,0.5205570291777188,0.5709549071618037,0.6352785145888594,0.6836870026525199,0.7254641909814323,0.7586206896551724,0.8003978779840849,0.843501326259947,0.8819628647214854,0.9124668435013262,0.9509283819628647,0.98342175066313
UMass-gbq_qr_no_transform,0,1,20,0.786,31,0.9,0.472,0.942,0.016578249336870028,0.028514588859416445,0.05106100795755968,0.11140583554376658,0.16047745358090185,0.21087533156498675,0.27320954907161804,0.3328912466843501,0.40649867374005305,0.4515915119363395,0.5006631299734748,0.5450928381962865,0.583554376657825,0.6279840848806366,0.6624668435013262,0.6962864721485411,0.7446949602122016,0.7904509283819628,0.8355437665782494,0.889920424403183,0.9423076923076923,0.9615384615384616,0.9840848806366048
FluSight-baseline,0,1,25.5,1,34.4,1,0.272,0.915,0.021220159151193633,0.03978779840848806,0.09549071618037135,0.22281167108753316,0.3136604774535809,0.35809018567639256,0.38726790450928383,0.41843501326259946,0.4442970822281167,0.46883289124668437,0.4874005305039788,0.5013262599469496,0.5152519893899205,0.5424403183023873,0.5716180371352785,0.5981432360742706,0.6359416445623343,0.6671087533156499,0.7055702917771883,0.769893899204244,0.8812997347480106,0.9442970822281167,0.9741379310344828
FluSight-baseline,1,1,42.4,1,58.4,1,0.295,0.902,0.026785714285714284,0.04326923076923077,0.07898351648351648,0.17925824175824176,0.26304945054945056,0.3248626373626374,0.3695054945054945,0.3983516483516483,0.4251373626373626,0.4519230769230769,0.4793956043956044,0.5137362637362637,0.5350274725274725,0.5604395604395604,0.5824175824175825,0.614010989010989,0.6504120879120879,0.6888736263736264,0.7287087912087912,0.7932692307692307,0.885989010989011,0.9375,0.9601648351648352
FluSight-baseline,2,1,58,1,81.5,1,0.278,0.871,0.03347578347578348,0.054843304843304845,0.08831908831908832,0.1752136752136752,0.25284900284900286,0.32264957264957267,0.36894586894586895,0.3995726495726496,0.42236467236467234,0.44515669515669515,0.46652421652421655,0.49145299145299143,0.5299145299145299,0.5541310541310541,0.584045584045584,0.6061253561253561,0.6374643874643875,0.6737891737891738,0.7236467236467237,0.792022792022792,0.8846153846153846,0.9195156695156695,0.9430199430199431
FluSight-baseline,3,1,70.9,1,101,1,0.282,0.859,0.03476331360946745,0.05547337278106509,0.09541420118343195,0.16789940828402367,0.2403846153846154,0.3113905325443787,0.363905325443787,0.40976331360946744,0.4378698224852071,0.45710059171597633,0.47855029585798814,0.496301775147929,0.5133136094674556,0.5377218934911243,0.5732248520710059,0.6087278106508875,0.6368343195266272,0.6708579881656804,0.7233727810650887,0.7869822485207101,0.8690828402366864,0.9105029585798816,0.9289940828402367
